Source,Normalized_Source
Free Radio (96.4 FM Birmingham) Commercials (Sampled),Radio - General
Gold (1548 AM London) Commercials,Radio - General
Hallam FM Commercials (Sampled),Radio - General
Heart (100-102 FM South Devon) Commercials (Census),Heart Radio
Heart (100.7 FM West Midlands) Commercials (Census),Heart Radio
Heart (101.7 FM Essex & East Herts) Commercials (Census),Heart Radio
Heart (102.3 FM South Hampshire West Sussex) Comms (Census),Heart Radio
Heart (102.4 FM Norfolk & North Suffolk) Commercials (Census),Heart Radio
Heart (102.4FM Gloucester & Cheltenham) Commercials (Census),Heart Radio
Heart (102.6 FM West Country) Commercials (Census),Heart Radio
Heart (102.7 FM Peterborough/Cambridge) Commercials (Census),Heart Radio
Heart (103.3 FM Milton Keynes) Commercials (Census),Heart Radio
Heart (105.1 & 107 FM Cornwall) Commercials (Census),Heart Radio
Heart (95.9-102.8 FM Kent) Commercials (Census),Heart Radio
Heart (96-103 FM West Country) Commercials (Census),Heart Radio
Heart (96.1 FM Essex & East Herts) Commercials (Census),Heart Radio
Heart (96.3 102.6FM Essex & East Herts) Commercials (Census),Heart Radio
Heart (96.3 FM Swindon) Commercials (Census),Heart Radio
Heart (96.6 FM Northampton) Commercials (Census),Heart Radio
Heart (96.6 FM Watford) Commercials (Census),Heart Radio
Heart (96.9 FM Bedford) Commercials (Census),Heart Radio
Heart (97.0 & 103 FM Exeter) Commercials (Census),Heart Radio
Heart (97.0 102.9 & 103.4 FM Berkshire) Commercials (Census),Heart Radio
Heart (97.6 FM Herts Beds & Bucks) Commercials (Census),Heart Radio
Heart 100-101 (Central Scotland) Commercials (Sampled),Heart Radio
Heart 105 - 106 FM (Wales) Commercials (Sampled),Heart Radio
Heart 105.4 (North West England) Commercials (Sampled),Heart Radio
Heart 96.2 & 97.3 FM - North Devon Commercials (Census),Heart Radio
Heart 97 & 96.6 FM (Plymouth) Commercials (Census),Heart Radio
Key 2 Commercials,Radio - General
Lincs FM 102.2 Commercials (Sampled),Radio - General
Nigeria (COSON) G&B,COSON
Planet Rock Digital Commercials (Sampled),Radio - General
Radio City 96.7 FM Commercials (Sampled),Radio - General
Radio X (97.7 FM Greater Manchester) Commercials (Census),Radio - General
Smooth 102.2 FM (London) Commercials (Sampled),Radio - General
Smooth Extra Commercials,Radio - General
Smooth Radio (105.2 FM Glasgow) Commercials (Sampled),Radio - General
Smooth Radio (1170 & 1157 AM Hampshire) Commercials (Census),Radio - General
Smooth Radio (1305 & 1359 AM South Wales) Commercials (Census),Radio - General
Smooth Radio (1323 & 945 AM Sussex) (Analogy),Radio - General
Smooth Radio (1323 & 945 AM Sussex) Commercials (Census),Radio - General
Smooth Radio (1359 & 1431 AM Essex) Commercials (Census),Radio - General
Smooth Radio (936 & 1161 AM Wiltshire) Commercials (Census),Radio - General
Smooth Radio (97.5 & 107.7 FM North East) Comms (Sampled),Radio - General
Sun FM 103.4 Commercials (Sampled),Radio - General
TFM 96.6 Commercials (Sampled),Radio - General
The Breeze (105.6 & 106.6 FM Yeovil) Commercials (Sampled),Radio - General
The Breeze (107.2 FM Bristol) Commercials (Sampled),Radio - General
The Hits - Digital Commercials (Sampled),TV - General
Touch FM (101.6 & 102.4 FM Tamworth) Commercials (Sampled),Radio - General
Tower FM 107.4 Commercials (Sampled),Radio - General
Trax FM (107.9 Bassetlaw) Commercials (Sampled),Radio - General
UK Live (Major Individual Events)>5434.78,UK - General
Wave 105.2 FM Commercials (Sampled),Radio - General
West Sound 1035 AM Commercials (Sampled),Radio - General
Wish 102.4 FM Commercials (Sampled),Radio - General
gem106 Commercials (Sampled),Radio - General
kmfm (96.4 FM Folkestone & Dover) Commercials (Sampled),Radio - General
4seven Primetime,Channel 4
MTV Music UK (NSPD),MTV
Crime (SPD),TV - General
TV10 Sweden Non-Primetime,TV - General
Viasat Explorer (NSPD),Viasat
Discovery Travel & Living Italy Non-Primetime,Discovery
MTV South Africa Non-Primetime,MTV
Universal Channel South Africa (NSPD),Universal Music
TV6 Norway Non-Primetime,TV - General
Film4 Primetime (Census),Channel 4
MTV Dance Commercials (NSPD),MTV
MTV Hits Commercials (NSPD),MTV
MTV Hits Commercials (SPD),MTV
MTV Music UK Commercials (NSPD),MTV
MTV Music UK Commercials (SPD),MTV
BBC Knowledge Africa (NSPD),BBC
Viasat Film Classic/Viasat Film Hits Peak,Viasat
4Music Non-Primetime Commercials (Census),Channel 4
4seven Non-Primetime Commercials,Channel 4
4seven Primetime Commercials,Channel 4
5 USA Non-Primetime Commercials (Census),Channel 5
5Select Comms Peak,Channel 5
5Spike Peak Commercials,Channel 5
BT Sport 1 Primetime Commercials,BT Group
BT Sport 2 Non-Primetime Commercials,BT Group
BT Sport 2 Primetime Commercials,BT Group
Capital TV Primetime Commercials ,Radio - General
Channel 4 Non-Primetime Commercials,Channel 4
Channel 4 Scotland Non-Primetime Commercials,Channel 4
Channel 4 Scotland Primetime Commercials,Channel 4
Channel 4 Ulster Non-Primetime Commercials,Channel 4
Comedy Central Non-Primetime Commercials (Census),Comedy Central
Comedy Central Primetime Commercials (Census),Comedy Central
Crime Non-Primetime Commercials,TV - General
Discovery Home & Health Non-Primetime Commercials,Discovery
Discovery Shed Non-Primetime Commercials,Discovery
Discovery Turbo Non-Primetime Commercials,Discovery
Eden Non-Primetime Commercials,TV - General
Film4 Non-Primetime Commercials (Census),Channel 4
Film4 Primetime Commercials (Census),Channel 4
Gold Non-Primetime Commercials (Census),Radio - General
Gold Primetime Commercials (Census),Radio - General
Kerrang! Non-Primetime Commercials,Radio - General
Lifetime Non-Primetime Commercials,TV - General
MTV European Non-Primetime,MTV
MTV European Primetime,MTV
More4 Non-Primetime Commercials (Census),Channel 4
More4 Primetime Commercials (Census),Channel 4
National Geographic Primetime Commercials (Census),National Geographic
Now 80s Non Peak,Now That's What I Call Music
Pick Non-Primetime Commercials (Census),TV - General
Real Lives Primetime Commercials,TV - General
Sky Atlantic Non-Primetime Commercials,Sky Networks
Sky Premiere Non-Primetime Commercials,Sky Networks
Sky Sports 4 Non-Primetime Commercials,Sky Networks
Sky Sports 5 Non-Primetime Commercials,Sky Networks
Sky Sports 5 Primetime Commercials,Sky Networks
Sky Sports F1 Non-Primetime Commercials,Sky Networks
Sky Sports F1 Primetime Commercials,Sky Networks
Sky2 Non-Primetime Commercials (Census),Sky Networks
Slovakian (SOZA) Films,SOZA
TLC Non-Primetime Commercials ,TLC
The History Channel Primetime Commercials (Census),TV - General
UK Classical Concerts (2015),UK - General
National Geographic Non-Primetime Commercials (Census),National Geographic
The History Channel Non-Primetime Commercials (Census),TV - General
Alliance Google Croatia (Local Name: Hrvatska) Permanent Download Service Single,Google
SOLAR Last FM Germany Limited Download / On Demand Streaming Service Single,Radio - General
SOLAR Blogmusik S.A.S.U France Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U United Kingdom Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Last FM United Kingdom Limited Download / On Demand Streaming Service Single,Radio - General
Latvian (NCB) Online,NCB
SOLAR Blogmusik S.A.S.U Austria Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Belgium Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Denmark Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Estonia Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Germany Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Ireland Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Italy Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Lithuania Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Moldova - Republic Of Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Netherlands Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Norway Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Poland Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Portugal Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Serbia Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Slovakia Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Slovenia Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Spain Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Sweden Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Switzerland Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR I.AM.PLUS Electronics Inc United Kingdom Limited Download / On Demand Streaming Service Single,I Am Plus
Switzerland (SUISA) Online,SUISA
Alliance YouTube Belarus User Generated Content Video,YouTube
Alliance YouTube Bulgaria User Generated Content Video,YouTube
Alliance YouTube Iraq User Generated Content Video,YouTube
Alliance YouTube Luxembourg User Generated Content Video,YouTube
Alliance YouTube Morocco User Generated Content Video,YouTube
Alliance YouTube Tanzania - United Republic Of User Generated Content Video,YouTube
Alliance YouTube Tunisia User Generated Content Video,YouTube
Alliance YouTube Viet nam User Generated Content Video,YouTube
DJ Monitor - Deltic,DJ Monitor
DJ Monitor - Specialist,DJ Monitor
Dearne FM High Peak Main,Radio - General
El Salvador (SACIM) G&B,SACIM
Free Radio - Birmingham High Peak Main,Radio - General
Free Radio - Black Country High Peak Main,Radio - General
Peak 107 FM Low Peak Mains,Radio - General
Radio Aire High Peak Main,Radio - General
Rother FM Low Peak Mains,Radio - General
SOLAR Aspiro AB Slovenia Limited Download / On Demand Streaming Service Single,Aspiro
SOLAR Blogmusik S.A.S.U Albania Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Bulgaria Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Croatia (Local Name: Hrvatska) Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Cyprus Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Czech Republic Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Finland Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Greece Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Hungary Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Iceland Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Latvia Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Luxembourg Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Macedonia - The Former Yugoslav Republic Of Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Malta Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Romania Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Turkey Limited Download / On Demand Streaming Service Single,Blogmusik
SOLAR Blogmusik S.A.S.U Ukraine Limited Download / On Demand Streaming Service Single,Blogmusik
Tower FM Low Peak Mains,Radio - General
Trax FM - Bassetlaw High Peak Main,Radio - General
Trax FM - Bassetlaw Non Peak Main,Radio - General
Wire FM Low Peak Mains,Radio - General
Wish FM Low Peak Mains,Radio - General
Lithuanian (NCB) Online,NCB
Alliance Google Cyprus Permanent Download Service Album,Google
SOLAR iTunes Estonia Ringtone Service Truetone Ringtones,iTunes
SOLAR iTunes Poland Ringtone Service Truetone Ringtones,iTunes
Alliance YouTube Serbia User Generated Content Video,YouTube
DJ Monitor - Generic,DJ Monitor
City Talk 105.9 High Peak Main,Radio - General
SOLAR Recisio Italy Limited Download / On Demand Streaming Service Single,Recisio
BBC Radio Foyle Low Peak,BBC
Touch FM - Stratford Low Peak Mains,Radio - General
SOLAR Recisio Lithuania Limited Download / On Demand Streaming Service Single,Recisio
Capital Xtra  Non Peak Main,Radio - General
SUBTVU Limited - Online,TV - General
Alliance Google Belarus Permanent Download Service Single,Google
Alliance Google Lithuania Permanent Download Service Single,Google
Alliance Google Malta Permanent Download Service Single,Google
BBC Radio Guernsey High Peak,BBC
BBC Radio Jersey High Peak,BBC
Central FM Low Peak Mains,Radio - General
The Breeze - Bristol Low Peak Mains,Radio - General
FOX (Census) High Peak,FOX
SET Africa (NSPD),SET
MTV Germany (NSPD),MTV
MTV NL Non Peak,MTV
Magic High Peak,Radio - General
VH1 UK & Eire (SPD),VH1
BBC Earth Asia High Peak,BBC
BBC Earth Asia Low Peak,BBC
BBC Earth Asia Non Peak,BBC
BBC World News (SPD),BBC
ITV1 Channel Non Peak,ITV
Viasat Nature (Nordic) High Peak,Viasat
Viasat Nature (Nordic) Non Peak,Viasat
Challenge (SPD),TV - General
Pick TV (SPD),TV - General
Sky Action & Adventure (SPD),Sky Networks
Sky Comedy (SPD),Sky Networks
Sky Greats (SPD),Sky Networks
Sky News Non Peak,Sky Networks
Sky Premiere (SPD),Sky Networks
Sky Sci-Fi/Horror (SPD),Sky Networks
Sky Select (SPD),Sky Networks
Sky Showcase (SPD),Sky Networks
Sky Sports Football (SPD),Sky Networks
Sky Sports Golf (SPD),Sky Networks
Sky Sports News (SPD),Sky Networks
Sky Sports Premier League (SPD),Sky Networks
Sky Thriller (SPD),Sky Networks
DIVA Romainia Non Peak,TV - General
TV6 Norway Low Peak,TV - General
MTV Dance Low Peak,MTV
MTV Dance Commercials (SPD),MTV
MTV South Africa High Peak,MTV
BBC ALBA Low Peak,BBC
BBC Four (SPD),BBC
Lifetime (SPD),TV - General
Blaze Low Peak,TV - General
Forces TV Non Peak,TV - General
MTV Nordic High Peak,MTV
E! Entertainment Comms High Peak,TV - General
E! Entertainment Comms Low Peak,TV - General
E! Entertainment Comms Non Peak,TV - General
ITV1 West Country Comms Non Peak,ITV
MTV Nordic Non Peak,MTV
Eden High Peak,TV - General
Eden Low Peak,TV - General
Eden Non Peak,TV - General
Quest Red Low Peak,Radio - General
TV1000 Premium Baltic (NSPD),TV - General
Belgian First (SPD),TV - General
Crime + Investigation Commercials (NSPD),TV - General
Food Network Commercials (NSPD),TV - General
ITV Granada Commercials (NSPD),ITV
Lifetime Commercials (NSPD),TV - General
The History Channel Commercials (NSPD),TV - General
Viva (SPD),TV - General
UK Classical Concerts (2016),UK - General
UK Concerts & Stage Shows Year 2016,UK - General
Alliance Google Bulgaria Permanent Download Service Album,Google
Alliance Google Bosnia and Herzegovina Permanent Download Service Single,Google
BBC ALBA Primetime,BBC
BBC PARLIAMENT Primetime (Census),BBC
SOLAR Microsoft Ireland Operations Ltd Finland Permanent Download Service Single,Microsoft
SOLAR Recisio Austria Permanent Download Service Single,Recisio
SOLAR Recisio Belgium Permanent Download Service Single,Recisio
SOLAR Recisio Czech Republic Permanent Download Service Single,Recisio
SOLAR Recisio Denmark Permanent Download Service Single,Recisio
SOLAR Recisio Hungary Limited Download / On Demand Streaming Service Single,Recisio
SOLAR Recisio Ireland Permanent Download Service Single,Recisio
SOLAR Recisio Malta Permanent Download Service Single,Recisio
SOLAR Recisio Norway Permanent Download Service Single,Recisio
SOLAR Recisio Poland Permanent Download Service Single,Recisio
SOLAR Recisio Portugal Permanent Download Service Single,Recisio
SOLAR Recisio Romania Permanent Download Service Single,Recisio
SOLAR Recisio Slovakia Limited Download / On Demand Streaming Service Single,Recisio
SOLAR Recisio Slovakia Permanent Download Service Single,Recisio
SOLAR Recisio Sweden Permanent Download Service Single,Recisio
SOLAR Musicqubed Ireland Tethered Download Service Single,Musicqubed
SOLAR Musicqubed Spain Tethered Download Service Single,Musicqubed
SOLAR Musicqubed United Kingdom Tethered Download Service Single,Musicqubed
SOLAR Spotify (2nd Invoice) Denmark Limited Download / On Demand Streaming Service Single,Spotify
Russian (RUR) General & Broadcasting,RAO
SOLAR Spotify (2nd Invoice) Lithuania Limited Download / On Demand Streaming Service Single,Spotify
Uruguayan (AGADU) Films,AGADU
SOLAR Traxsource Germany Permanent Download Service Single,Traxsource
SOLAR Traxsource Sweden Permanent Download Service Single,Traxsource
SOLAR Spotify (2nd Invoice) Cyprus Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Liechtenstein Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Ireland Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Recisio Latvia Permanent Download Service Single,Recisio
SOLAR Spotify (2nd Invoice) Austria Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Czech Republic Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Estonia Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Hungary Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Latvia Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Malta Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Poland Limited Download / On Demand Streaming Service Single,Spotify
SOLAR Spotify (2nd Invoice) Portugal Limited Download / On Demand Streaming Service Single,Spotify
BBC Radio Dorset,BBC
Warner TV (France) Non Peak,Warner Music
GEOL - My5,Channel 5
SOLAR Ministry Of Sound Group Ltd United Kingdom Limited Download / On Demand Streaming Service Single,Ministry Of Sound
SOLAR Apple Music (2nd Invoice) Austria Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Czech Republic Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) France Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Germany Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Italy Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Lithuania Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Netherlands Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Portugal Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Romania Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Slovakia Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Slovenia Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Sweden Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR iTunes (2nd Invoice) Austria Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Denmark Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Finland Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) France Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Germany Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Hungary Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Italy Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Luxembourg Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Sweden Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) United Kingdom Permanent Download Service Single,iTunes
SOLAR Amazon Prime France Permanent Download Service Album,Amazon
SOLAR Amazon Prime France Permanent Download Service Single,Amazon
SOLAR Amazon Prime Germany Permanent Download Service Album,Amazon
SOLAR Amazon Prime Germany Permanent Download Service Single,Amazon
SOLAR Amazon Prime United Kingdom Permanent Download Service Album,Amazon
SOLAR Apple Music (2nd Invoice) Belgium Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Estonia Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Finland Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Norway Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Poland Limited Download / On Demand Streaming Service Single,Apple Music
Alliance Soundtrack Your Brand Sweden AB Belgium Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Canada Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Denmark Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB France Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Italy Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Lebanon Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Netherlands Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Norway Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Qatar Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Sweden Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Switzerland Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Turkey Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB United Arab Emirates Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Armenia (ARMAUTHOR) G&B,ARMAUTHOR
High Peak Radio High Peak Main,Radio - General
High Peak Radio Low Peak Mains,Radio - General
High Peak Radio Non Peak Main,Radio - General
Lithuanian (LATGA-A) Private Copying,LATGA-A
Live 365,Live365
MSB2B - Immedia - Online - Audit,Immedia
Paraguayan (APA) General & Broadcasting,APA
SOLAR Amazon Prime United Kingdom Permanent Download Service Single,Amazon
Touchtunes UK Ltd (Online),TouchTunes
Wire FM Non Peak Main,Radio - General
Alliance Google Lithuania Permanent Download Service Album,Google
SOLAR Apple Music (2nd Invoice) Bulgaria Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Cyprus Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Greece Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Hungary Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Latvia Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Luxembourg Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Malta Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR Apple Music (2nd Invoice) Turkey Limited Download / On Demand Streaming Service Single,Apple Music
SOLAR iTunes (2nd Invoice) Austria Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Czech Republic Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Denmark Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Finland Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) France Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Greece Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Ireland Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Ireland Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Italy Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Lithuania Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Luxembourg Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Netherlands Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Norway Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Norway Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Poland Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Poland Permanent Download Service Single,iTunes
SOLAR iTunes (2nd Invoice) Portugal Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Romania Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Slovenia Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Spain Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Sweden Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) Turkey Permanent Download Service Album,iTunes
SOLAR iTunes (2nd Invoice) United Kingdom Permanent Download Service Album,iTunes
SOLAR iTunes Cyprus Ringtone Service Truetone Ringtones,iTunes
SOLAR iTunes Greece Ringtone Service Truetone Ringtones,iTunes
Alliance Beatport Norway Permanent Download Service Album,Beatport
BBC World Service Low Peak,BBC
BBC World Service Non Peak,BBC
MSB2B - A.V. Technical Services Ltd - Online - Audit,AV Technical Solutions Ltd
BBC Radio Guernsey Non Peak,BBC
BBC Radio Jersey Non Peak,BBC
Isle of Wight Radio High Peak Main,Radio - General
Pulse 1 FM High Peak Main,Radio - General
SOLAR Soundtrack Your Brand Sweden AB Estonia Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
SOLAR Soundtrack Your Brand Sweden AB Indonesia Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
SOLAR Soundtrack Your Brand Sweden AB Luxembourg Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
The Wave FM High Peak Main,Radio - General
kmfm - Ashford Low Peak Mains,Radio - General
kmfm - Canterbury Low Peak Mains,Radio - General
kmfm - Folkestone Low Peak Mains,Radio - General
kmfm - Maidstone Low Peak Mains,Radio - General
kmfm - Medway Low Peak Mains,Radio - General
kmfm - W.Kent Low Peak Mains,Radio - General
kmfm Digital Low Peak Mains,Radio - General
kmfm Thanet Low Peak Mains,Radio - General
BBC Radio 5 Live Non Peak,BBC
SOLAR Soundtrack Your Brand Sweden AB Hungary Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
FUN KIDS Non Peak Main,Radio - General
French Radio London,Radio - General
SOLAR Soundtrack Your Brand Sweden AB Czech Republic Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
SOLAR Xandrie S.A. Netherlands Permanent Download Service Single,Xandrie
Soho Radio,Radio - General
The Sun Newspaper,The Sun Newspaper
Alliance Beatport Croatia (Local Name: Hrvatska) Permanent Download Service Album,Beatport
Alliance Soundtrack Your Brand Sweden AB Finland Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Lithuania Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Malaysia Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Poland Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Portugal Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Singapore Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB South Africa Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Soundtrack Your Brand Sweden AB Thailand Limited Download / On Demand Streaming Service Single,Soundtrack Your Brand
Alliance Xandrie S.A. Austria Permanent Download Service Album,Xandrie
Alliance iTunes Cyprus Permanent Download Service Video,iTunes
BBC Radio Humberside High Peak,BBC
